,sample,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,PC_51,PC_52,PC_53,PC_54,PC_55,PC_56,PC_57,PC_58,PC_59,PC_60,PC_61,PC_62,PC_63,PC_64,PC_65,PC_66,PC_67,PC_68,PC_69,PC_70,PC_71,PC_72,PC_73,PC_74,PC_75,PC_76,PC_77,PC_78,PC_79,PC_80,PC_81,PC_82,PC_83,PC_84,PC_85,PC_86,PC_87,PC_88,PC_89,PC_90,PC_91,PC_92,treatment-group,time-point-day
1T0,1T0,-0.251106915681768,-0.217795521156855,0.0766808582039866,0.00197444728114147,-0.0606134841364799,0.0542476279467284,0.172775922223855,-0.00438781252486283,-0.0406943070361879,0.0106229454183829,-0.0401988931136492,-0.0321591357122106,-0.00786347208584018,0.0211247175009742,0.0678094052546659,-0.00923466247810155,0.0528581258379004,0.0499727266300634,-0.0124289292901044,0.0380678607912879,-0.0369704340622983,0.0166801914377436,-0.034454341121202,0.0317470319718495,0.043599568914886,-0.0145064760337972,-0.0756279782653189,-0.00298272366395655,0.0384840396299645,-0.00089720490540919,0.023765744459208,-0.0321454889486458,-0.0189303863514296,0.0046772969707718,0.0059945786285753,0.00419479786468822,-0.00823076900320322,-0.00201756519477959,0.00275544197752865,-0.0123960763150672,-0.0152938569578121,-0.0102892796714073,-0.023613711442565,0.00573117889748766,-0.000844022288352229,-0.0060211730872072,0.0123922235728306,-0.000196409700691759,0.0415770158278689,-0.00397975954046773,0.0115729034816906,0.0527596635765558,-0.00078006858542311,-0.0295491796208108,0.000260838231564222,-0.00180858122602883,-0.0192350892661716,0.0238867317081233,-0.0124572525981447,-0.0266156546077601,0.0154590416596479,-0.030394446096264,0.0229739903070223,0.0208610683251369,0.022856813668731,-0.00447309370687768,-0.0266829489709333,-0.027580711557364,-0.0203231141338654,-0.0133934886288653,-0.0288498715567474,-0.00148703510170324,-0.0193222325968414,-0.0234985906253957,-0.00716764135713973,-0.0170999132819375,-0.00830740199414678,-0.00787722519919608,-0.00146244564095877,0.0179797004949813,0.0147153517778858,0.00359501293689592,0.00583831179564879,0.0135508239343844,-0.00777399511140129,0.00393990890117597,-3.13933158419584e-05,-0.00347159641511079,0.00146638981251804,-0.00237959881942916,0.00273010624395043,0.00056543305909234,spTEM1,0
2T0,2T0,-0.238539244880964,-0.248419951444073,0.0758243725892866,0.00887510804256804,-0.0583929283951234,0.0839008136200486,0.0235590513080679,-0.0639015311795081,0.0690302039798739,0.092902019821475,0.163956389782697,-0.0448140685697447,-0.0222984199701285,-0.0116449734354411,0.0391997429503586,-0.0574606781925429,0.106744868306653,-0.0419144705832999,-0.0546042785937955,-0.0413699107616728,0.0228896184666428,0.0436077233626313,0.0281772253756648,-0.00252893913215576,0.0361991395759784,-0.0492164797682118,-0.0610647940550461,-0.00978028369391064,-0.00515054563025779,0.0198909066977937,0.0107285354147916,-0.0247977319458474,0.0227705989543419,0.0327624846634193,-0.022229181299732,0.00813069008891384,0.00664484836709568,-0.00998892629179155,0.0209540259435579,-0.0119003217978508,0.00100800703000385,0.0100718157058267,-0.0210830897852747,0.0307493594457972,-0.00162615841003347,-0.0087973414097906,-0.0168821562797455,-0.00657999480058032,-0.0122689426083767,-0.00970457392217943,-0.042678211827698,-0.0347501956362524,-0.00182336007674934,-0.0143672834339033,-0.003584363924635,-0.0060078850624523,-0.00481310872386901,0.01395218645007,-0.00644181571094665,0.0270459129600808,-0.015208626743204,-0.022560312733277,0.031560612820036,-0.00791369056471392,0.00693327156587853,-0.00287680367144479,0.0175592224804021,0.0158424991819867,0.0151189875915129,-0.00450275691712203,-0.0127116191335744,0.00689497088736403,-0.0176509812368606,-0.00970522932810422,0.00954287324304209,0.0308766720189941,-0.000944889849540635,-0.00597405621076155,2.58348929971811e-05,-0.00130408601793244,-0.00044860536176202,0.00452747386222121,-0.0152288198492203,-0.00489263045277841,-0.00620673266849259,-0.00913093900806504,-0.000754831157940261,-0.0102728583413117,0.00157804501928123,-0.00258244174934807,-0.00198308762048138,-0.00225924095317984,spTEM1,0
3T0,3T0,-0.25179446353156,-0.201713340612014,0.0658000321162133,0.098177348926873,-0.056241892801389,0.136545427200371,0.0539152844849892,-0.0202143393105709,0.0360597170427259,0.0307527328573684,0.0576440551602352,-0.105926275875695,-0.0163876244932909,-0.00011811603495658,0.051839600181883,0.00264089347907238,0.0370535901637187,-0.0216380389769969,0.00391904923049988,-0.0473888982283941,0.0300860672500674,0.0499298447354153,0.0544820964320293,0.00068593272644637,0.0325132470939597,0.0234698407921827,-0.0716787416083962,0.0207404139554285,-0.0114067963409731,0.0275290392426988,0.0446928952134838,0.0158800931345016,0.0206042905397313,0.00192855304293477,-0.03299079564741,-0.000868184574826831,0.0302737452216276,0.000158904686594621,-0.021824158843522,0.00486353489833488,-0.00644425926537931,0.000176346327052734,-0.0285587611963433,0.014674256066394,-0.00986615569817943,5.17981709970228e-05,0.0472838511622111,-0.00440945165327989,0.0202636269185853,-0.0434979465250492,0.00566686353147817,-0.00682414715000879,0.0307850574167501,-0.0131384591831435,-0.0302934571763297,0.0128959100355124,0.0280868959305456,-0.0263550664884824,0.0315531570385249,-0.00310782914451324,0.00571387594481668,0.0244892342164039,0.000160223622982088,-0.00911843186435029,-0.0079090323176412,0.0420453773542217,-6.02755867854989e-06,-0.0281786529771678,-0.0169171744063275,0.00339926392522736,0.0173088827805318,0.00687184656878036,0.0133908471093437,-0.0159882527751155,-0.00309369443627737,-0.00850402815610711,0.00882078633817903,-0.0098108992702493,0.0157478635302955,0.00864226181068489,-0.00739889296849274,-0.00890527987747974,-0.0129729630035674,0.00350855476838473,0.00258332100098732,-0.00974374649699758,0.00733272948133393,-0.00563363315619663,-0.000270931635142898,-6.23318490345688e-05,0.00197124857101726,0.000299665556752239,spTEM1,0
4T0,4T0,-0.246725688147079,-0.196849879064757,0.0859789735054523,-0.0459230068506547,-0.0518578578250421,0.0211820308665482,0.0965308457853594,-0.0101153378017403,-0.0494758080507365,-0.00977292724171865,-0.0573302279520383,0.0521483655117583,0.020800477688828,-0.0205418778838223,-0.0400856439485135,0.0299333479331346,-0.00143159086616155,0.0173723174188949,0.0106318676133756,-0.0427215918484637,-0.0200549382610263,0.0261446128926919,0.0539901012370277,0.0645399472776636,-0.00112008231581102,-0.0237154455181624,0.069584782642519,0.0666855184551808,0.0568451236730353,-0.0591726984002516,0.0132783656133047,0.0338368872768463,-0.00627060023655095,-0.00288678635937789,0.0330738229879338,-0.0321400203007603,0.010084972272285,0.0404320166677715,-0.00693311023332806,-0.00873069233014526,0.00504156674482259,-0.0459603145455668,0.0162508768312933,-0.00919264793925284,-0.0241674908983491,0.0359881881041045,-0.0284896686271558,0.024685928304495,0.0158773200997968,0.0148896519125899,0.0248661693848707,-0.00834659004132137,0.0274507479574361,-0.0343960556811609,-0.00164474229338337,-0.0276636871619938,-0.0285076085416183,-0.0372489160231008,-0.0045959253437489,0.00761507787502895,-0.0423232038977087,0.000108404453719684,-0.0140624937854859,-0.0298427812884167,-0.00172404275741873,0.00146609567477404,-0.000278048244978763,-0.0268423436861357,-0.0193650275693615,0.0236100017563825,0.00186469694260514,0.0257911997641171,-0.00683883229949998,-0.00852411643303923,-0.0120088688615744,0.0027691883616718,-0.00312918744609472,0.0161651803860129,-0.00651707286475661,-0.0071472055860124,0.020699546931132,0.00953399438310629,-0.0114909488775868,-0.0132792936666497,-0.00401877248618775,-0.0145168006858424,-0.000778739018311077,0.000334732949649646,0.00354667638363614,-0.00219488864436217,-0.000887242895634984,-0.00289672824478779,spTEM1,0
5T0,5T0,-0.239568284300812,-0.233966630524788,0.0776853389199439,0.0778442069554873,-0.0663124803003209,0.139207913602114,0.0409950310176882,-0.0439679000704834,0.0462426109135148,0.045421407767171,0.0975001595621512,-0.0868155423261324,-0.00820743905568346,-0.0128681040038477,0.0946598854699578,0.00487867330416186,0.0444069045637799,-0.00975558753641511,-0.0244246192589669,-0.0866675653840664,0.0154159411176282,0.0417362231317246,0.052579286104896,0.017352787846519,0.0332699993557142,0.0136992289353319,-0.0370413281796006,0.00636244068134726,0.0132364371870658,0.0167498691365181,0.0485964469078889,-0.000604400825313138,-0.0345748288723651,-0.00347543815382525,-0.0137887847000193,0.00288466160692335,-0.0160441866102966,0.0235120094273265,-0.0173252014364813,-0.00622391049836519,-0.0194712447821585,-0.00045045956957695,-0.00364097618180413,0.00810969811919749,-0.00518205686837682,0.0188822797770226,0.0437219832394855,-0.0129915733215582,0.0239964807447332,0.0142308063399372,-0.00548080147672218,0.0479856174968602,-0.0177708546038215,0.0137536505169852,0.0271440288405189,0.015247276244672,-0.00944480989946815,0.00152600964920694,-0.00331739660817164,7.49194291162009e-05,-0.0124024573319067,0.00299383214341585,-0.0247741675867994,0.0225599050275273,0.0113126898105866,-0.0218817279257791,-0.0188321772278641,0.0258857758884393,0.00390366662284265,0.0139621320933422,-0.00741784907882604,-0.0122361261905135,-0.0041124809933358,0.011651303429588,0.0023134283018828,0.00779903566152099,0.0160288544445578,0.0169317959205981,-0.00887121002512939,-0.0111068796312383,0.00121373100901671,0.0116149516362175,0.0088273939946436,-0.00828369895189623,0.00414214211773247,0.0119428361234928,-0.0130601819191194,0.0123687976325371,0.00410758788967449,0.00618214748388838,0.00176121047336151,0.000289753354208917,spTEM1,0
6T0,6T0,-0.253369204000819,-0.165968857757515,0.0528003519273416,0.0925393847790425,-0.0590267606809443,0.121795171083076,0.0700312213478875,-0.0329494970623521,0.0144387876953384,0.0140554697640178,-0.0100569428302976,-0.0803664154708869,-0.0244508824679029,0.0154072108678233,-0.0200830987413319,-0.0773077969334142,-0.0255575905883018,-0.0710446914902109,0.0359292756753298,0.0202715804138132,-0.0370327013507801,-0.0131858065401311,-0.0518514876526768,-0.071295269419778,-0.0397795297812712,0.038450240499443,0.051525288653219,-0.0365312643050465,-0.0360409603318478,0.0103234233196633,-0.00205919440796034,0.0127943531015517,0.0017994558386307,-0.0330710686416724,0.00140399365012712,-0.0295577872156107,0.0395816435146149,0.0205032972578865,0.00483168433584258,0.0377663183918136,-0.0541275849335002,0.0129039949064121,0.000945018368314932,0.00888699830006601,0.0128324145424506,-0.00845781477072005,-0.00407262484972612,-0.00837069101608912,0.0102887556559012,0.00869070945570666,-0.0151974916576394,0.00553442597837623,-0.00109784375181401,0.0235846284464849,0.0259841367693953,-0.00335586778220616,-0.00890913892134346,-0.0597086073316524,-0.00933544361442194,0.029848314693842,0.0148355074189963,-0.0212450862943237,0.023633923358367,-0.00948655731234133,-0.0251332559311682,0.0129050036266995,-0.0104667398222931,-0.0070926944809294,0.0300481391808249,0.00884432127964285,-0.0314162580949524,0.0254154385134022,-0.00452177108595318,-0.0240938997225842,0.00240538748393144,0.0120485863906823,0.0176088061204737,-0.0193962328608382,-0.00624014295043962,-0.00432353700893967,0.0105429666865668,0.00228997510386077,-0.0130368499548403,-0.00975312430717242,0.00165462679485194,0.00753404529771494,-0.00580334457191421,0.00494390874311186,-0.00149973956470357,-0.00458797701649281,0.00295745175762804,0.00298613600669117,spTEM1,0
7T0,7T0,-0.210465573378081,-0.264964948873924,0.0442821684812393,-0.050709098957202,0.00215627763684941,-0.0359622504923918,0.167565995778151,0.0664360705948407,-0.101965876946531,0.0651158645334451,0.0393672818147472,-0.0213814041588777,-0.00387222950925653,0.000453526663075334,0.0539536581074957,0.0597477688718993,0.0468395059315587,0.0819538575854522,-0.0277906199449385,0.148464733794568,0.0315956771544031,-0.0947573290773192,-0.0207746676733721,-0.0962080440721476,-0.0255988488720143,0.0075783273395318,-0.0091943171152687,-0.0301291187398728,-0.0612941159095754,-0.010515778187557,-0.0395014717789265,0.0491230862830019,-0.0310412850776299,0.00244256855820777,-0.0875205013581502,0.0238450614745029,-0.0152476099111143,0.00656151164318744,0.0159493870662381,-0.0314960106391654,0.00605274329012493,0.0493391240152352,0.00246150171036476,0.00718730585053244,0.0568710190338711,0.0573500920892837,-0.0149933479160643,0.00932071949779142,0.0378318973523718,-0.0130452612218637,-0.0178806535120868,-0.00107033273760134,0.0573543932963685,0.00807209997162252,0.0194332492872103,-0.0405026239345302,0.0298872442138304,0.00558620221560627,0.0419223564128467,0.0145927006396954,-0.0360744899096491,0.00876117752679944,-0.0155933324797526,-0.0108710224023634,-0.000376813888365387,-0.0199329735486147,-0.00215177694200193,-0.00972839787913532,0.00393762519160736,0.0226731983676051,0.00235886855206464,-0.0120410960266738,-0.0106382862211108,0.0074951301039672,-0.00311798147077598,-0.0124444779721327,0.00487603056853852,0.00570826828260011,-0.000621563488402121,-0.00695446151391709,-0.0097723192687371,0.0040559895790363,0.00144301735456298,-0.00845018799671302,0.000870331742592662,0.000104927469181659,0.000796040211334195,-0.00264840102788532,0.0026589904480547,0.00133583508729913,0.000380864041412478,-0.000232454241408176,spTEM1,0
8T0,8T0,-0.247390223548863,-0.112482354045148,0.0844115083607509,-0.0315139962222811,-0.112131112805017,0.0908831617454194,0.118684235149369,-0.0503454094937297,-0.0191781825541559,0.0164204093434132,-0.0120693973203148,0.0588650748630385,0.00471626538866747,0.0086237320436848,-0.0228585420382296,0.00805236177812752,-0.0577038608056895,0.0477901659751223,0.031013561148037,-0.0238870554356181,-0.0523423054259283,0.0444504299717175,-0.0124248635264933,0.0526143174428856,0.00574519803813054,0.0624584136925063,0.0511799652390555,-0.00201840891191749,0.0263815314765509,-0.0451595644620957,0.00937771149180692,0.0512989736622983,-0.010817047361092,-0.0356611820557937,0.0116436294348454,-0.0475487784305923,-0.0216504598847593,-0.028656911609564,0.0109390771827371,0.00864767256801589,0.016697056415235,0.00478378156320878,0.00502249032332948,0.0407415875705538,0.00155026042693793,0.00203719457105129,0.00363430723927853,-0.0158825757367293,-0.0103710357060437,-0.0304089827419343,0.00894838826254687,-0.0146245737285881,-0.0303116743627192,0.0241945855074802,0.0341935398672441,0.00817680437021213,0.00763742275566327,-0.0162827278474083,0.0224877979534726,-0.0114492121583617,-0.0417811581156714,-0.0291970778815567,0.00348836647418637,0.00663046548528164,-0.0119674669927384,-0.0288611431041119,0.0264600804850726,-0.00133203964809824,-0.0100857115990986,-0.000627325380964664,0.00491579264621533,-0.00799484121128029,-0.0122116889161984,0.000396606563335769,-0.00252537125160835,0.00399023612088329,-0.00437144249260454,-0.026267643316234,0.016204762013902,0.00801653100522912,-0.0295322470026035,0.00479651327173997,-0.00245698937127637,0.0189248482253305,0.00130239613515662,-0.000256145734517644,0.00702275009721403,0.00718707271311439,-0.00188038197837669,0.00693144753634197,-0.00176735325833218,-0.00103171089191902,spTEM1,0
9T0,9T0,-0.245096340642363,-0.271084490218717,0.0922280261500502,0.0322388945408917,-0.047500313434545,0.0852892453860516,0.0280979832298146,-0.00145096621139816,0.0292155109960019,0.0491395634646068,0.0871681055306614,-0.0424881782368099,-0.00172513002645458,-0.0197346740486248,0.0624077667753407,0.0317721622223251,0.0223361564417607,0.022031988546282,-0.0250674484148922,-0.0442885002559783,0.0731303453634614,-0.0220578426628402,0.0413492720848827,-0.0181671436756317,-0.00469666043339437,-0.000562940859175049,0.070852398898569,-0.0225309228167357,-0.0267418183246719,-0.00563914626153668,-0.0256573998481352,-0.00955597815897073,-0.00880922453370677,-0.0157699792331307,0.0355293703211638,0.035958898036868,-0.0290494737836348,-0.0312991035165369,-0.0242544100163042,0.0317090059773432,-0.0391536917937123,-0.0405206716709845,0.0277411687634135,0.012458270801861,0.0218458377837564,0.0123380679856306,-0.0325331181547721,-1.64558473675324e-05,0.00212233976030553,0.0260614147142032,0.0413245695746897,0.00982927461864374,0.013895674312568,0.0299635993783864,-0.00128837551773444,0.000436330215407712,0.00109662990961639,0.0218264795655233,-0.01763696287842,-0.00619520675324486,0.0298461521400223,-0.013578449553638,0.0121775948436404,-0.0370388608251973,-0.0136325326222384,0.000948222631628017,-0.0120594489960057,0.000113200694475788,-0.00563022275728182,0.000218223319470621,0.00610740809952559,0.00662986537947077,0.017617779805399,0.0136108367274512,0.0161090658808183,-0.00884504464779593,-0.000799335721802904,0.00437864777094181,-0.00127135493573264,0.00982596251058587,0.0122358851197402,-0.00260276532594549,-0.00367593077358671,0.0133395282629298,-0.00879904885828249,0.0196258452697981,0.0105648054880706,-0.00297866027025454,0.00238866658763317,-0.00221905665722781,-0.00827512349389408,0.000562516244833126,spTEM1,0
10T0,10T0,-0.260064359285486,-0.245491780792507,0.0844078869157889,0.0282673764689643,-0.0416796906250371,0.0743186758197559,0.0771244448070756,0.00934891303721115,-0.0133813371391522,0.0367352706630702,0.0241744425283115,-0.0507451984947299,-0.0313783285498805,-0.00707254858391863,0.000562941451935529,-0.0180393878712024,0.0075089941766929,-0.0207125391580249,0.0183480252468185,0.0368031752104134,-0.000542061931426146,-0.00571240107645047,0.034331871052661,-0.059136087192181,-0.0331290530501199,-0.0162053888555529,0.0267531268357264,0.0352687857372004,0.0115445137026627,-0.0597517557630777,-0.0445955554296233,-0.015249550182203,-0.0347956565466219,0.0227043950675109,0.00444092863905322,-0.0136900689244919,0.0329183428217046,0.0102224405988254,-0.0404374824822624,0.0152517864183907,0.0231144586736786,-0.031805268483481,0.066952370258624,-0.0332041811842337,-0.022980441259164,-0.0124490650116084,-0.0424637386831801,0.010912886838984,-0.0183960077382415,0.00631446570013298,-0.00913618904765596,-0.0275770899781012,-0.00631266541156782,0.00353198308052177,0.0111775827500725,0.000810580817595699,-0.0314033577901186,0.0229848154263327,0.0098824342547603,0.00523197732864433,0.0367656965779075,-0.0157323297418358,0.0118912878933456,0.0142675010771921,-0.0174935629856925,0.0127454111049357,-0.0184347636976301,-0.0279370154327489,0.0169646400221596,-0.0259108914913895,-0.0053239416325644,0.0103030379566803,-0.0200823358867172,0.0150085325359077,0.00140216878409964,-0.0215906419681413,-0.00158903347942506,-5.9912107073189e-05,0.011613155978125,-0.0131781170405023,-0.0101549767358345,-0.000678746004306735,-0.00106468743829524,0.0198231781098649,0.00717759789726559,-0.00616372351729481,-0.00875229903416257,-0.000986395738616684,0.00877784128311688,0.0103301807013619,0.000191345987709478,-0.00123251515100837,spTEM1,0
