,sample,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,PC_51,PC_52,PC_53,PC_54,PC_55,PC_56,PC_57,PC_58,PC_59,PC_60,PC_61,PC_62,treatment-group,time-point-day
1T0,1T0,0.176671308435228,-0.0338115648334888,0.09077175481442,0.154523421892021,0.09725561671206,0.0050521199862534,0.00126918716182116,-0.0850545153052071,-0.0152531833717742,-0.0731875293080245,0.0230562820528947,0.0523421335991817,0.0199028387792342,-0.0225185667804282,-0.0575367426605736,0.0483206914513579,-0.0316277093098638,-0.0173935128782695,0.0248674593323642,-0.0241189434354676,-0.00571721017851042,-0.0111187653384576,-0.0490943952077142,0.0147509886486454,-0.00316246698677382,-0.00054187465452138,0.0339277745822053,-0.0109831057120779,-9.09444419168403e-05,0.000272020294421812,-0.00650731515605338,0.0293837665916267,0.0347371415193786,-0.00668803986874473,-0.00415710519586271,-0.0147566195044939,0.0385140110430516,0.00660015332792074,0.00178484499073637,-0.0139145254981097,-0.0172261185587171,-0.0399765778681187,-0.000388873937645925,0.000582189063351093,0.00114369761946055,-0.0349614514205325,-0.0264103645521824,-0.0722778183177868,-0.00302126330737645,-0.00849814880187041,0.0125409304398227,0.0104001108226241,-0.00025998398537551,0.00572236752773745,0.00179064198282929,-0.0148772353820277,-0.00424115805771023,-0.00159725339793856,-0.00135127885504277,0.00546671777093585,-9.01364532422574e-05,-0.000787528854250165,spTEM1,0
2T0,2T0,0.212146855198289,-0.0131700508207291,0.114822843117325,0.00895539643710705,-0.000334882912723083,0.000925239599089021,-0.142788430627886,-0.132777641373971,-0.114438209170895,0.0327042428495272,-0.0713871046575507,0.00776135377600206,-0.0507845516735239,-0.00203022107837537,-0.0238500110030638,0.0460391149886656,-0.0343998304706784,-0.000613353900101442,-0.0412453068235589,-0.0116408652517451,-0.0050407243645597,-0.0364221169725302,0.0253888491895979,0.0108858359475614,-0.0141945946347742,0.00159309935026255,-0.0141364377634366,-0.00657240529869419,-0.000292145378599908,-0.006774328680285,-0.0243956323223551,-0.0492323888093711,-0.00658941780649366,-0.0514815190295325,0.0226737143944668,0.0204282149124408,-0.00178208946135156,-0.0231223786031681,-0.00929354977956158,0.020915276670908,0.0370864545916116,-0.0203540720023245,0.00872247940408998,0.00876608585253497,-0.0303325817783235,-0.0101445714565132,6.11279818749745e-05,0.00584383600921819,-0.0128580169484706,0.000731032633248988,-0.0237130288790228,-0.0203295289595352,-0.0077369063984849,0.0148375180370165,0.0146034289277351,-0.0179356725065045,-0.00856848745414667,0.00950059402519535,-0.00521696086007088,-0.00347123014610951,0.00575066510147201,0.00171323588267707,spTEM1,0
3T0,3T0,0.196082892629603,-0.0264047336326891,0.179846870369562,-0.0108606874581824,0.0876677556879713,0.0460885623495194,-0.0568071274058036,-0.03882657905579,-0.0624802173272204,0.0657169481109838,0.00830369423399423,0.0441183479099887,-0.0515598207352716,0.0465227464405754,-0.0172661810949747,0.0720134992887939,-0.0402992472595204,-0.0517651317388582,-0.0296205852646215,0.0250859206274466,-0.0389039142755619,0.0388383580007303,-0.0114806584827769,0.0136408746691094,0.00558328350715087,-0.0124426618613168,0.000117078709944205,-0.0274431304874066,-0.00621757135449242,-0.00158965886588505,-0.0277647834285292,-0.0328161468122964,0.0214953593740814,0.0223025018085596,-0.00856319570302183,0.00630416720116585,-0.0419117297951103,-0.00830817010834322,0.032573013158924,0.00264287727309246,-0.0130526455231434,0.0307938211650916,0.0414039578981785,-0.031033110615451,0.0196704006000241,0.00338582704871629,0.0241009558953303,-0.0324430434099388,6.21955561940336e-05,-0.00867452674615228,-0.00776034165358417,0.007941214644025,-0.00480413160745654,-0.00964537228828437,0.00784322714794852,0.00641327982261889,-0.000495733665880874,-0.0118299401336662,-0.000824861478474232,0.00185592633830136,-0.00292595123403948,-0.00281321546860999,spTEM1,0
4T0,4T0,0.149435941362748,-0.0408744416144911,0.0456515333521546,0.122545934119926,-0.0500202918748142,-0.0227469890063596,0.0296451644885092,7.9918472910582e-05,0.0800291279525145,-0.020629870434569,-0.0498895385005857,-0.0223501065142492,-0.0488455107316948,-0.0740352620663937,0.0809923833934995,-0.0328284995762273,0.02455111627111,-0.0611167638202936,0.069308913225116,0.0265736034710418,-0.0135911952295681,0.022903478067493,0.0342174347759155,-0.0163731390917294,0.0204740563175431,-0.0330462429122506,-0.00640206182516655,0.0251161087842281,0.007952684589943,-0.0230939397758458,0.0413827562870118,0.0134382409062215,0.0361863000607714,-0.0255374382531237,0.00815166489668718,-0.065670537035627,-0.0647290814495444,0.0201946002353113,0.00522882658946725,0.0438652387910939,-0.0287659675146284,0.0149685698548784,0.0109750386506938,-0.00659537953063158,-0.0178056712942402,-0.0100159133059771,-0.0128523478206326,-0.000636165928833591,0.00192469591337689,-0.0142954518466689,0.0190367350669654,-0.0224256778150497,-0.0156059723549317,-0.00148925724587932,-0.00808451503613944,-0.00369084531709112,-0.00695954078045673,0.00323302275234843,0.00278380513868049,0.00396075532040716,-0.00243284511770776,0.00144374565224593,spTEM1,0
5T0,5T0,0.218626829348256,-0.0115835399911949,0.19028054917087,-0.0100977701936685,0.0387766572181084,0.0414819018049606,-0.0909399066287986,-0.104821256106469,-0.0810849896200418,0.0948507888507311,-0.00909273234501324,0.0659279500730341,-0.0503124513633089,0.0248803176414457,-0.0130493959339329,0.0249151368391305,-0.0168319300044875,-0.0463444444803509,0.0270954886088557,0.0194429935678593,0.0193387510629353,0.00464778900802319,-0.0252737776915889,0.0180463996462612,0.017108025003557,-0.0367755172152605,0.0217750212790758,-0.0245532218188791,0.00339244216014054,-0.00202090572807987,-0.00167470480989883,0.0328291574320857,0.0081288844270564,0.0179903070028614,0.0056359703954828,-0.00840998048791589,0.00668011669245049,0.0137284165709518,-0.00492966882190013,-0.0142846651566093,-0.00917690821307094,-0.0308019492848036,-0.0453337074129534,0.00629402049799606,0.0172074993499575,-0.0118701301224082,0.00256628132318416,0.0316402751360178,0.010199657559133,0.00582643810501663,0.00777881132238339,0.00653831891156074,0.021732462029764,-0.00558763760221227,-0.00751909277476887,0.000194161724522481,0.00826630208340906,0.000200027284533062,0.0014901982354368,-0.00323903731077979,-0.00450446037680443,0.00252764855005075,spTEM1,0
6T0,6T0,0.160784431010517,-0.0393185323695398,0.174626254415262,-0.00145942240133373,0.119725221862632,0.0126191804633481,-0.033684682423591,0.083930069393299,0.00253739722894068,-0.0264727569634519,-0.0190790988837931,0.0153755953633399,0.0175979104703802,0.052750030605015,-0.00794465551508048,-0.028858215854843,0.0242548865985842,0.0904116638196125,0.0355592219025065,0.0399055679640028,0.00364595499902733,0.0278333480301101,0.0497301263168184,-0.0177419306768798,0.00101632501347044,0.0564779013545109,-0.0193086420284689,-0.0552026983533492,0.0200364920215261,0.0147757630479485,-0.011365482785863,0.0111521009402858,-0.0558141573967007,0.00787629342031854,0.0197312863470366,-0.0270167338749818,0.00852479010818257,-0.0624946046977054,-0.0435672380149838,0.0397357861631087,-0.00254196533603709,-0.000236710438253106,-0.0219991718425477,0.0128271199939672,0.00662581149528491,-0.0154145345384811,0.021131177344768,-0.0132639560003032,-0.015084966203619,0.00846272906681422,-0.0022131412121104,-0.0115081267287244,-0.0037458085654712,-0.009294327408508,0.00249939385000965,-0.00177609516863235,-0.00838166931531516,0.00470424451797251,0.00360984049030255,0.000548553732403955,-0.00726827229443442,-0.00187853178443055,spTEM1,0
7T0,7T0,0.198364243478731,0.0399972144269828,-0.0381371988313294,0.219106856215292,0.0639292364394178,-0.0182263316033814,0.0378775191823387,-0.0742193769653366,-0.0245426182141928,0.0300508814325869,0.121613689503718,-0.0568839138761018,0.113962362994806,0.0662333342223748,-0.0253303183067224,-0.0376785409044504,-0.010478536803348,0.0753734538022809,-0.0738460395604088,0.0924369301806144,0.0609015324007735,-0.0862410245690768,0.0543980094435832,-0.0138427951962535,-0.0546554642876634,-0.0139497547000542,-0.0168729761600221,-0.000531863732341024,-0.00332042368057644,0.0463693814348839,-0.0064332743882229,-0.0222322310359334,0.0526930765494033,0.0147772178487938,0.0037482254545954,0.00304051172571513,-0.0523631462585778,-0.010645854593258,0.0443065959520471,0.0178722995856424,-0.0323749658204484,-0.0101520760402664,-0.0111479370916606,-0.00244855202463875,0.01739144418238,0.00388562735286137,-0.0146100288840582,0.0203289057794832,-0.00952708481627125,-0.00939627889404108,0.00187564276242625,-0.00128127598204707,0.00837137562260265,-0.00350270177291207,0.000712980750748066,0.000216018653750156,0.00445751851830988,0.00391981272074648,0.00329561945736801,-0.0018016891957168,0.000873016284801165,0.000583777878522273,spTEM1,0
8T0,8T0,0.0679177692613458,-0.0812029895510854,0.148089040128627,0.100717916524672,-0.0257382694250301,-0.0454422378368633,0.0228811059261607,0.031257353304992,0.0140208768349146,-0.0622888265416918,0.0104060709786886,0.0759934499895801,-0.00296371381236997,-0.0452554312431145,0.070597259355421,-0.048291871595991,0.0651493278664971,-0.0455371099015911,0.0710793420973201,0.0510718842631931,0.00512928919451611,0.00878392805639092,-0.00933452301820818,0.0102739169112753,0.0141844493778514,-0.0164750870365393,-0.0179558990728848,0.0104261833285617,-0.0368950013685204,0.0274548112998156,-0.048470959125207,0.0121918826747258,-0.0292670997983146,-0.00422545812181411,-0.0242350902712995,0.0281785179268962,-0.0475730797658635,-0.034242943132524,0.00437373914637185,-0.0129943589011508,0.0110847868000941,-0.0363588909221159,-0.00750061966574535,0.0124318390197687,0.001086004898193,0.0197101244194706,-0.0122187639000854,-0.00815809851158922,-0.0105154528933163,0.00758503285359233,0.0092159889327094,-0.000598069600346334,-0.00798499276034945,0.0107159423907916,0.0282000786564561,0.00322167793242871,0.0161629331116482,-0.00835674478168931,-0.00403088756107174,0.00216653729284374,0.00477183467063619,0.000439880454629858,spTEM1,0
9T0,9T0,0.239664982986444,0.00498575342387587,0.116245569712887,0.027434007659491,-0.021112595523461,0.0543554191628334,-0.0358354168210259,-0.0742596930774095,-0.0714478077242426,0.0860408920337833,0.029071542933622,-0.0569114283392367,-0.0107239217502103,0.0143236075027995,0.0343377810212717,-0.0517322980659083,0.0601321711800535,0.0325988604848401,0.0315063075273136,-0.027347392564799,0.0438400057887555,-0.00333205002820289,-0.0120165163856481,-0.0200366006154516,0.0614227901433901,0.0220509184981621,-0.00090438491429693,0.0323207187593907,0.00994866111466689,0.0182751726874957,-0.0138839703867515,0.0027436181022476,-0.000538039212044508,0.028550557547582,-0.0124917133617252,-0.00142626133125953,0.0440091456471707,0.000553090362269472,-5.23070123073735e-05,0.0119580848983739,-0.0143975518126744,0.0327597519390225,0.00924040061877814,0.00555612579840997,-0.0220205486383957,-0.00145489579587538,0.032072983596211,0.00581851003105402,0.0136916899164287,-0.00207890682640912,0.0210853816687884,0.027236477734238,-0.026744186295179,0.0116022720867192,-0.00591195296669906,-0.0108519826013067,-0.00344438060755542,0.00183343170036302,0.00698881034975296,-0.00777127786108478,0.00669153418462317,-0.00571587555154817,spTEM1,0
10T0,10T0,0.213421663667806,-0.0225657630547282,0.0952415387900258,0.0854217335925889,0.0431687305618957,0.0141374370472473,-0.0237341584289054,0.0104135899287963,-0.000453858344343272,0.00237462554426841,-0.00760225006250527,-0.0489893172947831,0.00265904339246253,0.0489445654724627,0.0296262999521587,-0.0137664281610526,-0.0567230620054888,0.0296328611682266,0.0361012283593435,-0.0256453374925052,0.0111869292487833,-0.0399046759703753,0.0539067604901339,-0.0482758101951243,0.00594545913001656,-0.00902144982009195,-0.0715798881764611,0.056734333780528,-0.00203502362382027,-0.0191537344225364,0.0209012170602067,-0.0147994193955868,-0.0632605938559598,-0.010088300172115,-0.0257357688596395,-0.0391125456308674,0.0514791282349555,0.0178822520444782,-0.00675302952988345,0.0203981661444561,-0.0105831052477392,0.0190822233640321,0.0107601022525627,0.0106262822603631,-0.00857600507076486,0.0105903577777695,-0.00167227623587212,-0.0236249826221541,-0.00492132737006229,0.0029630218058175,0.00712811456151063,0.0241288582302229,0.00651695333520395,-0.00853418693459897,0.00993379564984579,0.00839138475025338,0.0252560229006917,0.000747816421650611,-0.0057052127542174,0.0063720205849548,0.000636089836367214,0.00668287901726505,spTEM1,0
